trial,time,id,Date,fix_time,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,loss,est_mu,est_low,est_high,conf_mu,conf_range,current_task,sure_option
0,123236,,2022-07-10,0.941,6666,0,6,0.0,training,-6,LH,0,1,view,no,-2,NA,NA,NA,NA,NA,view,NA
0,123242,,2022-07-10,0.649,6666,0,6,0.0,training,-6,LH,0,0,view,no,-10,NA,NA,NA,NA,NA,view,NA
0,123248,,2022-07-10,0.892,6666,0,6,0.0,training,-6,LH,0,1,view,no,-2,NA,NA,NA,NA,NA,view,NA
0,123254,,2022-07-10,0.527,6666,0,6,0.0,training,-6,LH,0,1,view,no,-1,NA,NA,NA,NA,NA,view,NA
0,123300,,2022-07-10,0.693,6666,0,6,0.0,training,-6,LH,0,1,view,no,-3,NA,NA,NA,NA,NA,view,NA
0,123306,,2022-07-10,0.676,6666,0,6,0.0,training,-6,LH,0,0,view,no,-11,NA,NA,NA,NA,NA,view,NA
0,123311,,2022-07-10,0.679,6666,0,6,0.0,training,-6,LH,0,0,view,no,-11,NA,NA,NA,NA,NA,view,NA
0,123317,,2022-07-10,0.875,6666,0,6,0.0,training,-6,LH,0,1,view,no,-3,NA,NA,NA,NA,NA,view,NA
0,123323,,2022-07-10,0.931,6666,0,6,0.0,training,-6,LH,0,0,view,no,-10,NA,NA,NA,NA,NA,view,NA
0,123329,,2022-07-10,0.889,6666,0,6,0.0,training,-6,LH,0,1,view,no,-1,NA,NA,NA,NA,NA,view,NA
0,123335,,2022-07-10,0.735,6666,0,6,0.0,training,-6,LH,0,0,view,no,-9,NA,NA,NA,NA,NA,view,NA
0,123341,,2022-07-10,0.626,6666,0,6,0.0,training,-6,LH,0,0,view,no,-9,NA,NA,NA,NA,NA,view,NA
0,123347,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-2,NA,NA,NA,NA,NA,NA,-9
0,123347,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-1,NA,NA,NA,NA,NA,NA,-3
0,123348,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-3,NA,NA,NA,NA,NA,NA,-2
0,123348,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-9,NA,NA,NA,NA,NA,NA,-11
0,123349,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-2,NA,NA,NA,NA,NA,NA,-10
0,123349,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-9,NA,NA,NA,NA,NA,NA,-1
0,123350,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-2,NA,NA,NA,NA,NA,NA,-1
0,123350,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-2,NA,NA,NA,NA,NA,NA,-11
0,123351,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-1,NA,NA,NA,NA,NA,NA,-2
0,123351,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-2,NA,NA,NA,NA,NA,NA,-9
0,123352,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-2,NA,NA,NA,NA,NA,NA,-10
0,123352,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-10,NA,NA,NA,NA,NA,NA,-3
0,123353,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-3,NA,NA,NA,NA,NA,NA,-9
0,123354,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-2,NA,NA,NA,NA,NA,NA,-2
0,123354,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-10,NA,NA,NA,NA,NA,NA,-11
0,123355,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-10,NA,NA,NA,NA,NA,NA,-3
0,123355,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-11,NA,NA,NA,NA,NA,NA,-1
0,123356,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-10,NA,NA,NA,NA,NA,NA,-10
0,123356,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-2,NA,NA,NA,NA,NA,NA,-10
0,123357,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-11,NA,NA,NA,NA,NA,NA,-2
0,123357,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-2,NA,NA,NA,NA,NA,NA,-1
0,123358,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-9,NA,NA,NA,NA,NA,NA,-3
0,123358,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-2,NA,NA,NA,NA,NA,NA,-9
0,123359,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-3,NA,NA,NA,NA,NA,NA,-11
0,123359,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-1,NA,NA,NA,NA,NA,NA,-3
0,123400,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-2,NA,NA,NA,NA,NA,NA,-9
0,123400,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-9,NA,NA,NA,NA,NA,NA,-11
0,123401,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-1,NA,NA,NA,NA,NA,NA,-10
0,123401,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-9,NA,NA,NA,NA,NA,NA,-1
0,123402,,2022-07-10,0.4,1,0,6,50.2,training,-6,LH,0,NA,view,yes,-11,NA,NA,NA,NA,NA,NA,-2
0,123408,,2022-07-10,NA,NA,0,6,NA,training,-6,LH,0,0,view,no,NA,-5.7,-0.9,-11.6,17.7,17.0,NA,NA
1,123409,,2022-07-10,0.958,6666,3,7,0.0,training,-6,HL,0,0,img,no,-11,NA,NA,NA,NA,NA,img,NA
1,123415,,2022-07-10,0.521,6666,3,7,0.0,training,-6,HL,0,1,img,no,-3,NA,NA,NA,NA,NA,img,NA
1,123420,,2022-07-10,0.901,6666,3,7,0.0,training,-6,HL,0,0,img,no,-9,NA,NA,NA,NA,NA,img,NA
1,123426,,2022-07-10,0.84,6666,3,7,0.0,training,-6,HL,0,1,img,no,-3,NA,NA,NA,NA,NA,img,NA
1,123431,,2022-07-10,0.76,6666,3,7,0.0,training,-6,HL,0,1,img,no,-1,NA,NA,NA,NA,NA,img,NA
1,123437,,2022-07-10,0.892,6666,3,7,0.0,training,-6,HL,0,1,img,no,-1,NA,NA,NA,NA,NA,img,NA
1,123442,,2022-07-10,0.831,6666,3,7,0.0,training,-6,HL,0,1,img,no,-2,NA,NA,NA,NA,NA,img,NA
1,123448,,2022-07-10,0.876,6666,3,7,0.0,training,-6,HL,0,0,img,no,-9,NA,NA,NA,NA,NA,img,NA
1,123454,,2022-07-10,0.578,6666,3,7,0.0,training,-6,HL,0,0,img,no,-10,NA,NA,NA,NA,NA,img,NA
1,123459,,2022-07-10,0.686,6666,3,7,0.0,training,-6,HL,0,0,img,no,-11,NA,NA,NA,NA,NA,img,NA
1,123504,,2022-07-10,0.964,6666,3,7,0.0,training,-6,HL,0,1,img,no,-2,NA,NA,NA,NA,NA,img,NA
1,123510,,2022-07-10,0.765,6666,3,7,0.0,training,-6,HL,0,0,img,no,-10,NA,NA,NA,NA,NA,img,NA
1,123516,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-1,NA,NA,NA,NA,NA,NA,-3
1,123517,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-3,NA,NA,NA,NA,NA,NA,-2
1,123517,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-10,NA,NA,NA,NA,NA,NA,-9
1,123518,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-2,NA,NA,NA,NA,NA,NA,-10
1,123518,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-9,NA,NA,NA,NA,NA,NA,-11
1,123519,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-1,NA,NA,NA,NA,NA,NA,-1
1,123519,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-11,NA,NA,NA,NA,NA,NA,-11
1,123520,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-10,NA,NA,NA,NA,NA,NA,-9
1,123520,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-9,NA,NA,NA,NA,NA,NA,-10
1,123521,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-10,NA,NA,NA,NA,NA,NA,-2
1,123521,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-9,NA,NA,NA,NA,NA,NA,-3
1,123522,,2022-07-10,0.4,1,3,7,50.1,training,-6,HL,0,NA,img,yes,-1,NA,NA,NA,NA,NA,NA,-1
1,123522,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-3,NA,NA,NA,NA,NA,NA,-11
1,123523,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-9,NA,NA,NA,NA,NA,NA,-2
1,123523,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-2,NA,NA,NA,NA,NA,NA,-3
1,123524,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-3,NA,NA,NA,NA,NA,NA,-10
1,123525,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-2,NA,NA,NA,NA,NA,NA,-1
1,123525,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-11,NA,NA,NA,NA,NA,NA,-9
1,123526,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-3,NA,NA,NA,NA,NA,NA,-11
1,123526,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-1,NA,NA,NA,NA,NA,NA,-10
1,123527,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-2,NA,NA,NA,NA,NA,NA,-3
1,123527,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-1,NA,NA,NA,NA,NA,NA,-9
1,123528,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-11,NA,NA,NA,NA,NA,NA,-1
1,123528,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-9,NA,NA,NA,NA,NA,NA,-2
1,123529,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-1,NA,NA,NA,NA,NA,NA,-2
1,123529,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-9,NA,NA,NA,NA,NA,NA,-11
1,123530,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-11,NA,NA,NA,NA,NA,NA,-1
1,123530,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-10,NA,NA,NA,NA,NA,NA,-10
1,123531,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-2,NA,NA,NA,NA,NA,NA,-3
1,123531,,2022-07-10,0.4,1,3,7,50.2,training,-6,HL,0,NA,img,yes,-3,NA,NA,NA,NA,NA,NA,-9
1,123547,,2022-07-10,NA,NA,3,7,NA,training,-6,HL,0,0,img,no,NA,-5.8,-1.9,-2.6,18.8,18.1,NA,NA
2,123552,,2022-07-10,0.78,6666,1,4,0.0,training,-10,LH,0,0,comb,no,-13,NA,NA,NA,NA,NA,view,NA
2,123558,,2022-07-10,0.54,6666,1,4,0.0,training,-10,LH,0,1,comb,no,-5,NA,NA,NA,NA,NA,view,NA
2,123603,,2022-07-10,0.788,6666,1,4,0.0,training,-10,LH,0,1,comb,no,-6,NA,NA,NA,NA,NA,view,NA
2,123609,,2022-07-10,0.947,6666,1,4,0.0,training,-10,LH,0,0,comb,no,-14,NA,NA,NA,NA,NA,view,NA
2,123615,,2022-07-10,0.708,6666,1,4,0.0,training,-10,LH,0,1,comb,no,-7,NA,NA,NA,NA,NA,view,NA
2,123620,,2022-07-10,0.595,6666,1,4,0.0,training,-10,LH,0,0,comb,no,-15,NA,NA,NA,NA,NA,view,NA
2,123626,,2022-07-10,0.992,6666,1,4,0.0,training,-10,LH,0,1,comb,no,-5,NA,NA,NA,NA,NA,view,NA
2,123632,,2022-07-10,0.758,6666,1,4,0.0,training,-10,LH,0,1,comb,no,-13,NA,NA,NA,NA,NA,view,NA
2,123638,,2022-07-10,0.511,6666,1,4,0.0,training,-10,LH,0,0,comb,no,-14,NA,NA,NA,NA,NA,view,NA
2,123643,,2022-07-10,0.921,6666,1,4,0.0,training,-10,LH,0,1,comb,no,-6,NA,NA,NA,NA,NA,view,NA
2,123649,,2022-07-10,0.715,6666,1,4,0.0,training,-10,LH,0,0,comb,no,-15,NA,NA,NA,NA,NA,view,NA
2,123655,,2022-07-10,0.835,6666,1,4,0.0,training,-10,LH,0,0,comb,no,-7,NA,NA,NA,NA,NA,view,NA
2,123700,,2022-07-10,0.653,6666,1,4,0.0,training,-10,LH,0,1,comb,no,-8,NA,NA,NA,NA,NA,img,NA
2,123706,,2022-07-10,0.787,6666,1,4,0.0,training,-10,LH,0,1,comb,no,-9,NA,NA,NA,NA,NA,img,NA
2,123712,,2022-07-10,0.654,6666,1,4,0.0,training,-10,LH,0,0,comb,no,-12,NA,NA,NA,NA,NA,img,NA
2,123717,,2022-07-10,0.539,6666,1,4,0.0,training,-10,LH,0,0,comb,no,-12,NA,NA,NA,NA,NA,img,NA
2,123723,,2022-07-10,0.542,6666,1,4,0.0,training,-10,LH,0,1,comb,no,-10,NA,NA,NA,NA,NA,img,NA
2,123728,,2022-07-10,0.942,6666,1,4,0.0,training,-10,LH,0,0,comb,no,-11,NA,NA,NA,NA,NA,img,NA
2,123734,,2022-07-10,0.778,6666,1,4,0.0,training,-10,LH,0,0,comb,no,-12,NA,NA,NA,NA,NA,img,NA
2,123740,,2022-07-10,0.959,6666,1,4,0.0,training,-10,LH,0,1,comb,no,-9,NA,NA,NA,NA,NA,img,NA
2,123746,,2022-07-10,0.511,6666,1,4,0.0,training,-10,LH,0,0,comb,no,-10,NA,NA,NA,NA,NA,img,NA
2,123751,,2022-07-10,0.711,6666,1,4,0.0,training,-10,LH,0,0,comb,no,-11,NA,NA,NA,NA,NA,img,NA
2,123757,,2022-07-10,0.886,6666,1,4,0.0,training,-10,LH,0,1,comb,no,-12,NA,NA,NA,NA,NA,img,NA
2,123803,,2022-07-10,0.875,6666,1,4,0.0,training,-10,LH,0,1,comb,no,-8,NA,NA,NA,NA,NA,img,NA
2,123809,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-6,NA,NA,NA,NA,NA,NA,-14
2,123810,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-14,NA,NA,NA,NA,NA,NA,-13
2,123810,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-14,NA,NA,NA,NA,NA,NA,-5
2,123811,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-5,NA,NA,NA,NA,NA,NA,-6
2,123811,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-7,NA,NA,NA,NA,NA,NA,-7
2,123812,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-5,NA,NA,NA,NA,NA,NA,-15
2,123812,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-5,NA,NA,NA,NA,NA,NA,-7
2,123813,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-14,NA,NA,NA,NA,NA,NA,-5
2,123813,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-13,NA,NA,NA,NA,NA,NA,-14
2,123814,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-15,NA,NA,NA,NA,NA,NA,-6
2,123814,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-6,NA,NA,NA,NA,NA,NA,-15
2,123815,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-13,NA,NA,NA,NA,NA,NA,-13
2,123815,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-14,NA,NA,NA,NA,NA,NA,-6
2,123816,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-15,NA,NA,NA,NA,NA,NA,-13
2,123816,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-5,NA,NA,NA,NA,NA,NA,-14
2,123817,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-14,NA,NA,NA,NA,NA,NA,-15
2,123817,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-15,NA,NA,NA,NA,NA,NA,-5
2,123818,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-13,NA,NA,NA,NA,NA,NA,-7
2,123818,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-15,NA,NA,NA,NA,NA,NA,-15
2,123819,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-13,NA,NA,NA,NA,NA,NA,-7
2,123820,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-14,NA,NA,NA,NA,NA,NA,-5
2,123820,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-13,NA,NA,NA,NA,NA,NA,-14
2,123821,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-5,NA,NA,NA,NA,NA,NA,-6
2,123821,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-5,NA,NA,NA,NA,NA,NA,-13
2,123822,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-6,NA,NA,NA,NA,NA,NA,-14
2,123822,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-6,NA,NA,NA,NA,NA,NA,-7
2,123823,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-15,NA,NA,NA,NA,NA,NA,-6
2,123823,,2022-07-10,0.4,1,1,4,50.1,training,-10,LH,0,NA,comb,yes,-14,NA,NA,NA,NA,NA,NA,-5
2,123824,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-7,NA,NA,NA,NA,NA,NA,-15
2,123824,,2022-07-10,0.4,1,1,4,50.2,training,-10,LH,0,NA,comb,yes,-7,NA,NA,NA,NA,NA,NA,-13
2,123829,,2022-07-10,NA,NA,1,4,NA,training,-10,LH,0,1,comb,no,NA,-6.6,-0.5,-12.9,16.5,19.0,NA,NA
3,123830,,2022-07-10,0.635,6666,0,1,0.0,training,-10,HL,0,0,comb,no,-12,NA,NA,NA,NA,NA,view,NA
3,123835,,2022-07-10,0.546,6666,0,1,0.0,training,-10,HL,0,1,comb,no,-9,NA,NA,NA,NA,NA,view,NA
3,123841,,2022-07-10,0.512,6666,0,1,0.0,training,-10,HL,0,0,comb,no,-11,NA,NA,NA,NA,NA,view,NA
3,123846,,2022-07-10,0.752,6666,0,1,0.0,training,-10,HL,0,0,comb,no,-10,NA,NA,NA,NA,NA,view,NA
3,123852,,2022-07-10,0.864,6666,0,1,0.0,training,-10,HL,0,1,comb,no,-8,NA,NA,NA,NA,NA,view,NA
3,123858,,2022-07-10,0.941,6666,0,1,0.0,training,-10,HL,0,1,comb,no,-10,NA,NA,NA,NA,NA,view,NA
3,123903,,2022-07-10,0.706,6666,0,1,0.0,training,-10,HL,0,1,comb,no,-9,NA,NA,NA,NA,NA,view,NA
3,123909,,2022-07-10,0.595,6666,0,1,0.0,training,-10,HL,0,1,comb,no,-12,NA,NA,NA,NA,NA,view,NA
3,123915,,2022-07-10,0.798,6666,0,1,0.0,training,-10,HL,0,0,comb,no,-10,NA,NA,NA,NA,NA,view,NA
3,123920,,2022-07-10,0.673,6666,0,1,0.0,training,-10,HL,0,0,comb,no,-10,NA,NA,NA,NA,NA,view,NA
3,123926,,2022-07-10,0.8,6666,0,1,0.0,training,-10,HL,0,1,comb,no,-11,NA,NA,NA,NA,NA,view,NA
3,123932,,2022-07-10,0.59,6666,0,1,0.0,training,-10,HL,0,0,comb,no,-8,NA,NA,NA,NA,NA,view,NA
3,123937,,2022-07-10,0.517,6666,0,1,0.0,training,-10,HL,0,0,comb,no,-14,NA,NA,NA,NA,NA,img,NA
3,123943,,2022-07-10,0.679,6666,0,1,0.0,training,-10,HL,0,0,comb,no,-15,NA,NA,NA,NA,NA,img,NA
