side1,side2,learning.thisRepN,learning.thisTrialN,learning.thisN,learning.thisIndex,coin.started,coin.stopped,cross.started,cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,7,0,0,0,2,8.374102799993125,None,7.883898399988539,8.397870100001455,1,001,2023-01-09_16h26.56.507,untitled,2022.1.4,118.13949202284614,
1,5,0,1,1,0,9.845900699991034,None,9.366404699991108,9.871929699991597,1,001,2023-01-09_16h26.56.507,untitled,2022.1.4,118.13949202284614,
2,6,0,2,2,1,11.33997349999845,10.84950039999967,10.84950039999967,11.357404499998665,1,001,2023-01-09_16h26.56.507,untitled,2022.1.4,118.13949202284614,
4,8,0,3,3,3,12.834723899999517,12.342646599994623,12.342646599994623,12.842980999994325,1,001,2023-01-09_16h26.56.507,untitled,2022.1.4,118.13949202284614,
4,8,1,0,4,3,14.32809019999695,13.83557289998862,13.83557289998862,14.337364999999409,1,001,2023-01-09_16h26.56.507,untitled,2022.1.4,118.13949202284614,
2,6,1,1,5,1,15.821498099991004,15.328795299996273,15.328795299996273,15.830334300000686,1,001,2023-01-09_16h26.56.507,untitled,2022.1.4,118.13949202284614,
3,7,1,2,6,2,17.31593119999161,16.823649300000397,16.823649300000397,17.32419200000004,1,001,2023-01-09_16h26.56.507,untitled,2022.1.4,118.13949202284614,
1,5,1,3,7,0,18.801213799990364,18.31769229999918,18.31769229999918,18.818196799998987,1,001,2023-01-09_16h26.56.507,untitled,2022.1.4,118.13949202284614,
1,5,2,0,8,0,20.29571939999005,19.802523599995766,19.802523599995766,20.30393280000135,1,001,2023-01-09_16h26.56.507,untitled,2022.1.4,118.13949202284614,
2,6,2,1,9,1,21.789647099998547,21.296164799990947,21.296164799990947,21.79798839999421,1,001,2023-01-09_16h26.56.507,untitled,2022.1.4,118.13949202284614,
4,8,2,2,10,3,23.283603999996558,22.791423099988606,22.791423099988606,23.291980999987572,1,001,2023-01-09_16h26.56.507,untitled,2022.1.4,118.13949202284614,
3,7,2,3,11,2,24.777645800000755,24.28510369999276,24.28510369999276,24.78612729998713,1,001,2023-01-09_16h26.56.507,untitled,2022.1.4,118.13949202284614,
3,7,3,0,12,2,26.271897499987972,25.779928599993582,25.779928599993582,26.280180899993866,1,001,2023-01-09_16h26.56.507,untitled,2022.1.4,118.13949202284614,
2,6,3,1,13,1,27.76494899998943,27.272173199991812,27.272173199991812,27.773491499989177,1,001,2023-01-09_16h26.56.507,untitled,2022.1.4,118.13949202284614,
